"Date","Temp","Humid","p1","p2"
2022-01-03,NA,NA,NA,NA
2022-01-04,22.95412234,72.95239362,14.57142287,13.55365691
2022-01-05,23.68801734,73.64150572,14.98973218,14.28760536
2022-01-06,23.67570621,77.87449556,15.08070218,14.4291364
2022-01-07,23.66348162,78.70769826,17.6384913,16.65154739
2022-01-08,23.46896686,75.82682261,13.58205848,12.83196881
2022-01-09,23.26121894,76.21118012,12.15621118,11.52639752
2022-01-10,23.20767138,82.09722524,17.09619772,16.22000422
2022-01-11,22.11919918,81.5610883,20.13864337,19.15899281
2022-01-12,NA,NA,NA,NA
2022-01-13,NA,NA,NA,NA
2022-01-14,23.08573446,76.51497175,15.35053521,14.66130986
2022-01-15,23.64492929,75.48092929,22.51989086,20.82852061
2022-01-16,23.80036349,73.90783522,16.64846589,15.71550262
2022-01-17,23.02222222,79.45577236,9.804791554,9.454899838
2022-01-18,22.81418164,90.1618747,29.69025716,27.00859777
2022-01-19,23.01211166,87.59887438,16.01520542,15.32705643
2022-01-20,23.96907357,90.19368756,15.50978656,14.94856948
2022-01-21,23.10981165,91.19763469,20.76270852,18.94893327
2022-01-22,23.12427521,76.9900476,16.18799827,15.47220537
2022-01-23,22.95340471,65.02389722,13.97252785,13.23708226
2022-01-24,23.20392562,70.67097107,21.88089119,20.09215026
2022-01-25,23.8979445,63.40868448,20.09979296,18.6017029
2022-01-26,23.83377416,59.04791455,19.45110204,18.19551531
2022-01-27,23.60494455,64.29496303,16.01230415,15.24572811
2022-01-28,24.70540541,61.50846847,17.61931921,16.66537421
2022-01-29,24.52,69.91914634,12.0155339,11.46870077
2022-01-30,24.16287849,66.80530869,9.163211478,8.745562107
2022-01-31,23.94821864,69.40707662,13.67000487,13.073585
2022-02-01,24.72221202,71.82638825,15.70722681,14.98605601
2022-02-02,24.69398578,79.429579,13.52292007,12.91604133
2022-02-03,24.30010947,87.1196497,20.19380744,19.13519147
2022-02-04,24.15988928,83.62667338,20.25689046,18.97083796
2022-02-05,24.44305027,72.59843684,11.96930233,11.41973784
2022-02-06,24.9377494,79.0980846,12.78476856,12.2375419
2022-02-07,24.51817339,81.22837274,14.23418334,13.63736622
