"Date","Temp","Humid","p1","p2"
2018-04-25,20.606989245,83.386290325,13.18288889,4.599666667
2018-04-26,21.85855856,77.86036036,14.06074866,4.987379679
2018-04-27,21.39595588,81.14301471,13.83819742,4.70583691
2018-04-28,21.63111111,79.85481481,13.09303571,3.892232143
2018-04-29,21.68461538,76.59340659,14.58019737,4.716315789
2018-04-30,21.52058824,76.88333333,15.76474138,4.95637931
2018-05-01,20.52107843,79.60833333,12.49963636,2.619545455
2018-05-02,20.78596491,77.59692982,14.97666667,4.278141026
2018-05-03,21.96168224,74.81121495,13.53972973,3.854594595
2018-05-04,22.57758621,76.23534483,12.97392523,3.323738318
2018-05-05,21.45542169,77.35180723,15.576,4.9464
2018-05-06,20.816,77.0312,14.15113821,3.831626016
2018-05-07,20.81333333,82.98,13.9725,1.5575
2018-05-08,21.57310924,77.66806723,15.06,4.873220339
2018-05-09,NA,NA,NA,NA
2018-05-10,NA,NA,NA,NA
2018-05-11,NA,NA,NA,NA
2018-05-12,NA,NA,NA,NA
2018-05-13,NA,NA,NA,NA
2018-05-14,NA,NA,NA,NA
2018-05-15,NA,NA,NA,NA
2018-05-16,NA,NA,NA,NA
2018-05-17,NA,NA,NA,NA
2018-05-18,NA,NA,NA,NA
2018-05-19,NA,NA,NA,NA
2018-05-20,NA,NA,NA,NA
2018-05-21,NA,NA,NA,NA
2018-05-22,NA,NA,NA,NA
2018-05-23,NA,NA,NA,NA
2018-05-24,NA,NA,NA,NA
2018-05-25,NA,NA,NA,NA
2018-05-26,NA,NA,NA,NA
2018-05-27,NA,NA,NA,NA
2018-05-28,NA,NA,NA,NA
2018-05-29,NA,NA,NA,NA
2018-05-30,NA,NA,NA,NA
2018-05-31,22.75294118,56.60294118,39.18395887,24.95128535
2018-06-01,23.23333333,56.16666667,31.87478336,13.88592721
2018-06-02,20.68,68.26,10.86078125,4.306302083
2018-06-03,20.23333333,69.16666667,11.31085366,5.109390244
2018-06-04,20.7,69.36363636,51.75878136,20.83969534
2018-06-05,21.45,67.95,136.1952197,88.49630931
2018-06-06,19.85227273,67.02727273,20.70488496,10.22649558
2018-06-07,18.71666667,70,58.8183549,28.02526802
2018-06-08,19.1,69.55,32.25784965,16.76326923
2018-06-09,19.70909091,64.90909091,15.63731278,7.2969163
2018-06-10,18.95,68.73333333,NA,NA
2018-06-11,18.6875,67.625,NA,NA
2018-06-12,21.12857143,60.05714286,110.1032345,52.31078167
2018-06-13,20.56,62.86,77.79361854,26.89010695
2018-06-14,20.65,62.31666667,21.87691099,13.19900524
2018-06-15,19.2,66.5,13.63114983,7.852125436
2018-06-16,21.24545455,64.96363636,439.7447049,306.1856424
2018-06-17,19.95,68.25,505.8770753,383.1521016
2018-06-18,18.01333333,82.23333333,289.9773582,148.1327305
2018-06-19,18.99,69.9,378.5422862,205.38
2018-06-20,19.4,65.63333333,575.254,312.3382632
2018-06-21,20.02,61.7,640.1786957,303.0637913
2018-06-22,21,55.32,646.2760315,344.3330769
2018-06-23,21.325,61.05,152.4615104,84.56888889
2018-06-24,21.1,63.58333333,15.12642361,9.686545139
2018-06-25,19.57142857,63.74285714,362.4378609,194.786313
2018-06-26,20.08239278,67.68036117,304.9759615,89.55527972
2018-06-27,18.79869338,70.551480835,251.0624696,48.32662609
2018-06-28,21.0888587,53.56766304,560.3211649,312.4794982
2018-06-29,20.82944162,59.82791878,393.2138502,186.6415157
2018-06-30,20.76381119,69.4048951,224.444171,38.11685864
2018-07-01,20.99166667,73.84982639,221.5872522,33.82026087
