Date,location,humidity,P1,P2,temperature
07/02/2018,8,44.66851852,57.45714286,15.00547619,22.51507937
07/02/2018,16,44.08569052,31.21737952,10.53698795,21.63810316
08/02/2018,7,33.87137546,23.19228361,5.243296501,23.05687732
08/02/2018,8,45.59512195,44.79487805,15.47243902,22.06341463
08/02/2018,16,37.21142857,47.0335,16.84235938,21.01910714
09/02/2018,7,32.49052823,14.75073126,4.065959781,23.56466302
09/02/2018,8,41.17977528,42.51904494,17.90505618,22.42078652
09/02/2018,16,37.86385373,53.07746988,20.30748327,21.84050633
10/02/2018,7,44.39324056,13.09766284,3.976992337,23.17574553
10/02/2018,8,48.58967391,30.50709677,8.950967742,22.28043478
10/02/2018,16,45.22174629,39.07984202,16.27327014,23.16293245
11/02/2018,7,49.16341948,7.322312139,2.49867052,23.14115308
11/02/2018,8,49.6427762,17.64355114,5.829147727,22.76373938
11/02/2018,16,47.30536779,25.27316306,10.15168959,23.96461233
12/02/2018,6,50.24854369,13.55771429,4.087714286,21.16019417
12/02/2018,7,49.09640719,10.81786427,3.36750499,22.39261477
12/02/2018,8,50.75070423,22.65588652,8.403475177,22.50422535
12/02/2018,16,53.17,42.80531977,20.09709302,21.67098361
13/02/2018,6,61.59175258,16.2168254,7.483333333,18.7
13/02/2018,7,50.10206612,11.58879346,3.61805726,21.88326446
13/02/2018,8,52.04311377,24.40909639,7.933795181,22.25628743
13/02/2018,16,52.06258865,41.36935433,19.0008189,21.69698582
14/02/2018,7,52.64355828,9.87495935,3.315955285,22.20858896
14/02/2018,8,53.77153846,12.07542636,5.039069767,22.43692308
14/02/2018,16,50.67723577,34.83191099,16.93337696,23.73658537
15/02/2018,7,53.40410959,10.4421673,3.767794677,21.97984344
15/02/2018,8,54.49489796,13.213125,6.574791667,22.23265306
15/02/2018,16,51.69920213,35.49761155,17.43183727,23.27393617
16/02/2018,6,61,16.77,5.63,23
16/02/2018,7,52.06165414,11.16819521,3.950626151,22.23176692
16/02/2018,8,54.3971223,21.69726619,9.404784173,22.22841727
17/02/2018,7,52.01921642,8.475371747,3.375724907,22.74123134
17/02/2018,8,54.05405405,23.3659633,9.61706422,22.15225225
18/02/2018,7,49.2845614,6.198403509,2.701877193,24.22
18/02/2018,8,49.43904762,17.85410256,5.671794872,23.24952381
19/02/2018,7,48.22411972,9.510755712,3.082829525,24.29947183
19/02/2018,8,47.39055829,20.43425982,6.908036254,23.69786535
19/02/2018,16,49.45265589,33.02967033,15.13876923,24.7039261
20/02/2018,7,52.6346831,9.224179894,3.464973545,23.42359155
20/02/2018,8,47.34672131,14.42359756,6.568780488,23.73213115
20/02/2018,16,55.60879479,29.908,16.92285507,23.54397394
21/02/2018,6,67,34.64,19.666,25.96
21/02/2018,7,43.55971731,9.877001764,3.56973545,24.62402827
21/02/2018,8,47.35528256,17.53071942,7.780503597,23.68894349
21/02/2018,16,47.64499089,36.27463333,19.06758333,24.1417122
22/02/2018,7,44.1372134,12.46388693,4.651943463,24.2696649
22/02/2018,8,53.02658228,25.74518987,11.85050633,23.36329114
22/02/2018,16,55.11689655,33.89950147,18.93997067,23.60310345
23/02/2018,7,45.23697183,19.62221831,7.438204225,24.52834507
23/02/2018,8,48.17413793,74.77367816,33.10689655,23.64022989
23/02/2018,16,45.72725061,44.18393509,22.88336714,25.28686131
24/02/2018,7,41.60070299,13.76718805,5.701195079,25.443058
24/02/2018,8,41.18214286,31.48391304,11.69102302,24.24668367
24/02/2018,16,51.20804769,31.90158038,17.91377384,23.85648286
25/02/2018,7,40.0117338,10.53525394,4.507863398,26.20805604
25/02/2018,8,40.35791045,26.98764881,9.747678571,24.74089552
25/02/2018,16,45.17506527,25.15255346,13.73486792,25.1694517
26/02/2018,7,36.10875,13.22623214,4.653553571,26.08535714
26/02/2018,8,50.03846154,23.12607843,11.17156863,23.96923077
26/02/2018,16,43.71937603,48.48735426,23.62811659,24.20147783
27/02/2018,7,39.82131439,12.93540925,4.608487544,25.8383659
27/02/2018,16,41.77606383,50.40600316,26.08115324,25.51684397
28/02/2018,7,45.47697715,10.42552817,3.672147887,25.14376098
28/02/2018,16,47.85417323,25.33063328,12.11195876,25.21401575
01/03/2018,7,52.13848101,10.68272727,4.452348485,24.48025316
01/03/2018,16,56.48094488,24.29876133,16.20160121,23.94787402
02/03/2018,7,55.97470167,17.41927107,7.825193622,23.67136038
02/03/2018,16,59.85668449,25.60956416,17.51786925,23.2368984
03/03/2018,7,56.34886165,18.89235088,9.89245614,23.31401051
03/03/2018,16,74.99097345,34.78853377,28.2153542,21.21522124
04/03/2018,7,59.97504394,6.971526316,4.374701754,22.73356766
04/03/2018,16,72.23322835,28.11875957,23.39655436,20.84488189
05/03/2018,7,61.9846831,16.9129877,8.687908612,21.99647887
05/03/2018,16,72.93525896,44.88346087,37.36888696,21.09262948
06/03/2018,7,64.32067227,21.90631579,10.55145865,21.99159664
06/03/2018,8,67.81704545,34.74191571,18.09360153,22.15416667
06/03/2018,16,70.86317204,35.8791796,27.8783592,22.01693548
07/03/2018,7,53.06954225,15.49344464,6.157961336,22.98978873
07/03/2018,16,60.94253076,33.30687898,22.01901274,21.98049209
07/03/2018,20,58.63140496,17.7352459,3.788032787,23.35289256
08/03/2018,7,53.18563327,17.86129213,6.589307116,23.15897921
08/03/2018,16,57.52220588,52.19341064,33.53069577,22.74073529
08/03/2018,20,63.78207547,14.23636364,4.023484848,22.35990566
09/03/2018,7,58.8987976,25.29279919,9.42030426,23.15631263
09/03/2018,8,66.63662791,87.17343023,62.47959302,22.48837209
09/03/2018,16,62.99923896,34.90495172,20.97942069,23.25372907
09/03/2018,20,65.22380952,15.57378205,4.728076923,23.78253968
10/03/2018,7,70.62380952,20.25593496,7.44902439,20.96984127
10/03/2018,8,70.20111111,35.58122222,17.46511111,22.29555556
10/03/2018,16,62.05334302,31.1959552,18.15588933,22.90072674
10/03/2018,20,65.20519031,14.61955752,3.920707965,22.82283737
11/03/2018,7,58.79488055,13.50210702,6.496120401,23.18327645
11/03/2018,8,64.26639344,16.6872541,9.071106557,22.12295082
11/03/2018,16,61.76022253,30.47063063,18.07637066,23.00041725
11/03/2018,20,65.37409091,15.1993617,3.736737589,23.10954545
12/03/2018,7,61.77125749,13.18948819,6.359704724,22.18223553
12/03/2018,8,73.86439791,25.72957895,20.27710526,21.96596859
12/03/2018,16,74.6277512,34.35060417,25.93458333,22.35861244
12/03/2018,20,74.67968127,13.40805882,3.921411765,21.87729084
13/03/2018,7,64.08209256,17.92838323,7.784810379,21.70704225
13/03/2018,8,70.63372093,39.08373529,31.04114706,21.86773256
13/03/2018,16,77.94669118,34.46034582,27.67801153,22.25073529
13/03/2018,20,75.92009804,12.63638298,3.519148936,21.81568627
14/03/2018,7,61.74080808,13.03167339,5.548608871,22.32727273
14/03/2018,8,66.60491803,26.68127869,16.94154098,21.91344262
14/03/2018,16,64.6967366,27.12894624,20.50963441,24.93333333
14/03/2018,20,69.20092166,13.0375,3.752954545,23.72396313
15/03/2018,7,67.92226804,6.581004098,3.345778689,21.53237113
15/03/2018,8,73.05346535,69.15828283,61.29626263,21.64653465
15/03/2018,16,78.65498084,33.39593193,26.8293517,21.04731801
15/03/2018,20,81.75126904,12.94263158,4.032526316,20.87766497
16/03/2018,7,65.47368421,9.013312757,4.129320988,21.4742915
16/03/2018,8,46.2,NA,NA,23.8
16/03/2018,16,75.28660578,25.51217331,21.88508941,21.0847793
16/03/2018,20,79.48531746,11.31948276,2.64,20.95396825
16/03/2018,21,80.60131004,16.60455752,10.7269469,20.91135371
17/03/2018,7,65.97942974,10.58855984,5.828701826,22.01792261
17/03/2018,16,75.7359116,37.92976501,32.7702611,21.58646409
17/03/2018,20,79.81629213,11.54546875,3.0290625,21.47078652
17/03/2018,21,80.00927152,26.82227373,15.13843267,21.21346578
18/03/2018,7,61.79979123,11.446294,6.197929607,22.3302714
18/03/2018,16,77.67325153,41.39862884,33.14443262,22.45325153
18/03/2018,20,75.34916388,15.10170732,5.763597561,22.08394649
18/03/2018,21,75.53984169,18.96284553,11.14241192,21.86226913
19/03/2018,7,68.91447084,17.39155602,8.626701245,21.45550756
19/03/2018,8,77.11565934,71.93738889,33.78072222,21.49972527
19/03/2018,16,86.16461538,51.85899861,42.81860918,20.59723077
19/03/2018,20,79.9990991,15.7,6.474035874,21.49369369
19/03/2018,21,82.51226852,35.29779343,19.33659624,20.77337963
20/03/2018,7,68.94718876,18.80998004,8.350479042,20.88674699
20/03/2018,8,76.06203966,28.31028653,18.99140401,21.18385269
20/03/2018,16,79.91506211,54.41864407,42.29117232,20.55791925
20/03/2018,20,78.10827815,16.10189815,6.227314815,21.27384106
20/03/2018,21,78.33623188,39.13760192,17.86340528,20.92850242
21/03/2018,7,69.34183445,14.05189696,5.702435597,20.61565996
21/03/2018,8,73.65067568,40.91832215,23.28657718,21.08108108
21/03/2018,16,81.68853755,31.87380952,27.19793651,19.41027668
21/03/2018,20,77.55555556,14.20812749,4.741314741,21.56444444
21/03/2018,21,76.37788462,26.86421053,12.47246411,21.45625
22/03/2018,7,66.469163,14.05607676,5.891407249,20.81894273
22/03/2018,20,70.74262295,15.26876923,5.121487179,22.84655738
22/03/2018,21,70.31103604,56.53540724,22.14794118,22.42522523
23/03/2018,7,60.5812749,19.57696721,6.692602459,21.29083665
23/03/2018,20,66.37952218,14.90386667,4.849866667,22.63481229
23/03/2018,21,78.0006993,181.4207639,72.81222222,19.21468531
24/03/2018,7,69.01586207,13.13160839,5.602377622,20.5662069
24/03/2018,8,59.68056426,22.67472492,10.67928803,21.84796238
24/03/2018,20,67.04982699,14.3231401,4.665072464,23.15051903
25/03/2018,8,62.14512635,15.20478417,7.237625899,22.42310469
25/03/2018,20,68.23079848,13.92804469,4.207877095,23.68821293
26/03/2018,8,66.6207483,12.90881757,6.198378378,21.97278912
26/03/2018,20,70.1950495,13.4857529,3.51996139,23.57953795
27/03/2018,8,70.87868852,23.6352459,10.70508197,21.45901639
27/03/2018,20,71.94606061,15.70142857,4.756616541,22.66909091
28/03/2018,7,65.66693122,10.98953678,4.474904632,21.57830688
28/03/2018,20,71.90385757,16.23262295,5.445278689,22.76587537
29/03/2018,7,67.71428571,11.49606272,5.101010453,20.7010453
29/03/2018,20,72.80209424,15.33474359,5.431987179,21.74554974
30/03/2018,7,66.11655844,17.61545741,8.088201893,20.96038961
30/03/2018,8,60.151341,29.64160156,16.56816406,22.4302682
30/03/2018,16,74.86526316,36.34932367,29.9515942,20.17315789
30/03/2018,20,72.48955224,21.11489583,9.4528125,21.72537313
31/03/2018,7,64.64255952,11.5248773,5.394846626,21.36607143
31/03/2018,8,63.6462069,63.25964789,27.44556338,21.48275862
31/03/2018,16,75.65833333,44.55497076,37.59502924,19.98653846
31/03/2018,20,69.25140187,17.44362069,6.697758621,21.73925234
01/04/2018,7,60.39109589,7.942511416,4.008972603,22.46255708
01/04/2018,8,63.5562212,17.69023364,9.773130841,22.27511521
01/04/2018,20,69.27904192,16.21148515,5.751188119,22.76467066
02/04/2018,7,64.92813953,7.790786517,3.892314607,22.08511628
02/04/2018,8,72.8839599,13.96390306,9.595663265,21.0764411
02/04/2018,20,76.66182573,13.77006173,4.864259259,22.05809129
03/04/2018,7,68.20570265,8.251575758,3.795292929,21.03279022
03/04/2018,8,71.96214689,10.17244318,6.356079545,20.91836158
03/04/2018,20,76.48867314,13.64381148,4.304180328,21.77961165
04/04/2018,7,64.64508197,6.916324111,2.775177866,20.89918033
04/04/2018,8,69.25945946,19.51134396,8.540364465,21.12117117
04/04/2018,16,74.29378531,22.63737903,18.04705645,21.5440678
04/04/2018,20,72.63803922,13.32752874,3.696149425,21.72784314
05/04/2018,7,67.57631068,9.312806324,4.213833992,20.87106796
05/04/2018,8,75.62265625,53.17626016,33.39723577,20.61875
05/04/2018,16,76.34833703,27.7255684,20.86786127,22.01662971
05/04/2018,20,74.65793991,13.27333333,3.778870056,21.53905579
06/04/2018,7,68.45238095,8.810495868,3.533636364,20.80828157
06/04/2018,8,77.63552632,25.4352,16.28626667,19.94210526
06/04/2018,16,77.34241758,31.47240072,22.41651625,21.64813187
06/04/2018,20,70.6368231,12.91085227,3.270056818,22.78194946
07/04/2018,7,68.24015905,8.902128906,3.531953125,21.39085487
07/04/2018,8,65.95934959,9.982921811,4.395555556,22.37154472
07/04/2018,16,72.04705882,26.78966276,19.15876833,22.79815126
07/04/2018,20,69.83076923,14.1448913,4.13701087,22.78615385
08/04/2018,7,64.07578125,4.47802,1.53338,21.85605469
08/04/2018,8,58.25519713,11.97193431,4.820036496,23.18602151
08/04/2018,16,72.89701789,28.93892514,23.07284069,21.9
08/04/2018,20,74.64,11.61964286,2.565178571,21.26181818
09/04/2018,7,65.05848303,5.348076152,2.136372745,21.58303393
09/04/2018,8,62.77692308,25.96119681,12.68023936,23.26816976
09/04/2018,16,76.35612009,23.13186508,18.71549603,22.08706697
09/04/2018,20,70.8829932,12.11446281,2.50231405,22.9122449
10/04/2018,7,62.48447581,8.201587302,3.722996032,22.51149194
10/04/2018,8,62.49564033,18.31297003,10.33877384,23.55013624
10/04/2018,16,73.58594104,25.69724551,18.91822355,22.52698413
10/04/2018,20,69.80070423,12.74553571,3.290059524,23.40035211
11/04/2018,7,65.43810484,8.084430894,3.644817073,22.11915323
11/04/2018,8,66.87628362,20.43546569,12.12240196,23.09339853
11/04/2018,16,77.75617433,25.37983773,21.07180527,22.0283293
11/04/2018,20,78.62708333,13.77886364,4.737045455,21.20069444
12/04/2018,7,66.25240084,7.114756098,3.182642276,21.6006263
12/04/2018,8,67.22147806,14.33328704,8.307569444,23.43648961
12/04/2018,16,75.76285097,23.83153271,19.10930841,22.02483801
12/04/2018,20,68.46875,11.61649351,2.387012987,23.40625
13/04/2018,7,66.79599198,11.85230019,4.073157895,21.86513026
13/04/2018,8,68.17324219,32.00230019,13.03066277,23.37421875
13/04/2018,16,65.25659777,24.08579259,17.55527407,24.11669316
13/04/2018,20,74.5016129,14.20346154,4.078846154,21.9233871
14/04/2018,7,71.84593023,8.015662879,3.798579545,20.62616279
14/04/2018,8,72.2053719,10.8108316,6.028274428,21.84793388
14/04/2018,16,77.62478185,26.68194662,22.40031397,22.11815009
14/04/2018,20,81.16315789,12.19325,2.752,20.70921053
15/04/2018,7,64.41676768,7.15482,1.38334,21.94020202
15/04/2018,8,67.92830957,3.046652893,1.562066116,23.26313646
15/04/2018,16,76.85092025,14.75462687,12.36904478,22.31472393
15/04/2018,20,76.14854772,11.29345679,2.454691358,21.05477178
16/04/2018,7,64.27664671,10.43372671,2.290952381,22.03233533
16/04/2018,8,65.01930693,53.28957606,19.26249377,23.56658416
16/04/2018,16,72.05301205,18.73923695,14.05518072,22.74722892
16/04/2018,20,72.62563177,12.67607477,3.085700935,21.81588448
17/04/2018,7,65.7266129,7.350959488,2.187526652,21.83205645
17/04/2018,8,72.72307692,85.78615385,58.17551282,22.25641026
17/04/2018,16,79.49432099,16.17929978,13.83056893,21.25950617
17/04/2018,20,73.65792683,11.75632653,2.164285714,21.67743902
18/04/2018,7,63.84792899,20.64754065,8.671727642,21.9816568
18/04/2018,8,73.73009404,20.98815047,12.37567398,22.87774295
18/04/2018,16,74.80644491,32.10212069,25.95043103,21.82432432
18/04/2018,20,77.54883721,11.8487037,2.586851852,20.74883721
19/04/2018,7,68.20055249,13.74033708,6.303876404,21.8335175
19/04/2018,8,88.73518519,56.87716981,41.09556604,20.49537037
19/04/2018,16,75.82835314,27.94072086,23.25349693,22.07691002
19/04/2018,20,79.64527027,14.12573529,4.208529412,21.15945946
20/04/2018,7,66.27992958,20.28702988,7.07142355,22.14630282
20/04/2018,8,89.37777778,133.9589407,85.44627119,20.79423868
20/04/2018,16,75.36529851,33.64550775,28.29012048,22.2483209
20/04/2018,20,80.46540084,14.92766355,4.47364486,20.86877637
21/04/2018,7,65.72230769,6.473,2.158384615,22.59961538
21/04/2018,8,71.46115486,46.78693333,27.8924,24.37349081
21/04/2018,16,80.57868132,28.17211573,23.41616637,21.83692308
21/04/2018,20,82.29552239,11.79795918,2.636326531,21.31940299
22/04/2018,8,75.44332248,7.154474576,4.544644068,23.42964169
22/04/2018,16,77.91518027,18.93619308,16.38040073,22.10872865
22/04/2018,20,74.31086957,11.27666667,2.983333333,22.20869565
23/04/2018,7,67.17579462,10.33242647,4.26252451,22.38801956
23/04/2018,8,80.86426282,8.921617162,5.385445545,22.15445513
23/04/2018,16,78.74168378,24.63918819,21.5648524,22.50862423
23/04/2018,20,81.1761194,12.12380952,3.20047619,21.56865672
24/04/2018,7,72.18014184,6.707673179,3.144866785,20.58014184
24/04/2018,8,82.3684466,10.96757576,6.869810606,20.89809061
24/04/2018,16,88.12547993,29.23310345,24.29131661,20.5521815
24/04/2018,20,85.85063291,11.44285714,2.752142857,20.30759494
25/04/2018,7,73.62735675,13.37962477,5.628086304,20.04731978
25/04/2018,8,79.01538462,24.49169014,16.20112676,19.05641026
25/04/2018,16,79.1227704,24.95892283,22.04413183,21.78671727
25/04/2018,20,82.67258065,13.18288889,4.599666667,20.81397849
25/04/2018,21,84.1,NA,NA,20.4
26/04/2018,7,73.24901961,15.37221034,7.079108734,19.95418895
26/04/2018,8,80.58439024,15.50292079,10.70331683,21.07121951
26/04/2018,16,74.65700758,25.23014925,21.90320066,22.84545455
26/04/2018,20,77.86036036,14.06074866,4.987379679,21.85855856
